S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref,Organisation Chain
395.,18-Aug-2023 09:00 AM,25-Aug-2023 03:00 PM,25-Aug-2023 03:05 PM,"[Procurement of Spare items for day to day repair/maintenance of 7 No. JCB Loaders working in DEMS and Maintenance Departments of West Zone, MCD.] [EE (AUTO)/WZ/MCD/2023-24/D-115][2023_MCD_164818_1]",Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
396.,04-Aug-2023 06:30 PM,25-Aug-2023 03:00 PM,28-Aug-2023 11:00 AM,[Aerial LIDAR Survey and other field works for Final Location Survey for New Semi High Speed Rail Broad Gauge line (Design Speed 220 kmph and Operational Speed 200 kmph) between Chennai Central and Bengaluru (upto Byappanahalli Station)] [RITES/RI/TandS/Chennai Bengaluru][2023_RITES_163471_1],RITES Ltd.||ROC 1 (Sector 29 Gurugram) - RITES||Track and Survey - RITES
397.,14-Jul-2023 04:30 PM,25-Aug-2023 03:00 PM,25-Aug-2023 04:00 PM,[AMC of PLCC/FORTE for 400 KV switchyard.] [NIT/23-24/48 Dated 14.07.2023][2023_MUNPL_161112_1],Meja Urja Nigam Pvt Ltd||Meja Thermal Power Project - MUNPL||Contracts and Materials - MUNPL
398.,12-Aug-2023 11:30 AM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[Supply and Application of Henkel Loctite Solution Bisphenol Base Protective Chemical Resistant Coating.] [HBL/TEN/PUB/23-24/172 ][2023_HPCLB_164379_1],HPCL Biofuels Limited||Purchase (Patna)
399.,07-Aug-2023 06:00 PM,25-Aug-2023 03:00 PM,26-Aug-2023 03:00 PM,[2/PE230440/1] [2/PE230440/1][2023_UCIL_163638_1],Uranium Corporation of India Limited||Purchase Department-Tummalapalle - UCIL||Purchase Department-Tummalapalle - UCIL
400.,20-Jul-2023 05:00 PM,25-Aug-2023 03:30 PM,26-Aug-2023 03:30 PM,[LETTING OUT ADVERTISEMENT RIGHTS AT AVNL YEDDUMAILARAM HYDERABAD ESTATE.] [76025/TE-29/OFMK/EOC/LETTING OUT/23-24][2023_AVNL_161642_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram
401.,20-Jul-2023 05:00 PM,25-Aug-2023 03:30 PM,26-Aug-2023 03:30 PM,[LETTING OUT ADVERTISEMENT RIGHTS AT AVNL YEDDUMAILARAM HYDERABAD ESTATE.] [76025/TE-29/OFMK/EOC/LETTING OUT/23-24][2023_AVNL_161642_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram
402.,08-Aug-2023 05:00 PM,25-Aug-2023 03:30 PM,28-Aug-2023 03:30 PM,[NCAMC of i)FTIR with Diffuse Reflection Accessories ii) UV-VIS- NIR Spectrophotometer ] [P/I/AMC/08/AT/TT/STE/23-24][2023_CSIR_163791_1],Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR
403.,11-Aug-2023 09:00 AM,25-Aug-2023 04:00 PM,28-Aug-2023 04:00 PM,[Re construction of Collapsed Compound wall] [31/WB/CD-KOL/BSNL/NIT/23-24][2023_BSNL_164060_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Civil)
404.,09-Aug-2023 05:00 PM,25-Aug-2023 04:00 PM,26-Aug-2023 04:00 PM,"[Interior Works and Allied Services for VC Office/Chamber in Administrative Building at Permanent Campus of Central University of Jharkhand (CUJ) at Cheri Manatu, Ranchi, Jharkhand. ] [WAP/INFS-I/2023-24/10 ][2023_WAPCO_163947_1]",WAPCOS Limited||Rural and Urban Development||RUD (Gurugram)
405.,17-Aug-2023 01:00 PM,25-Aug-2023 04:00 PM,26-Aug-2023 04:00 PM,[Providing and fixing Sheer Curtain in Guest Rooms of 4th floor of main building at The Ashok New Delhi] [AH/Engg./Sheer-Curtains/23][2023_ITDC_164722_1],India Tourism Development Corporation Ltd.||HeadQuarter - ITDC
406.,10-Aug-2023 06:55 PM,25-Aug-2023 04:00 PM,25-Aug-2023 04:30 PM,"[EOI for Selection of Partner for Supply, Installation, Configuration and Commissioning with 03 years comprehensive Warranty Support Services of Security Information and Event Management (SIEM) solution at CRIS HQ,NewDelhi and DR siteSecunderabad] [TCIL/DT/ITTIV/CRIS/SIEM/I/23 ][2023_TCIL_164166_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL
407.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_8],Indian Oil-Adani Gas Private Limited
408.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_10],Indian Oil-Adani Gas Private Limited
409.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_5],Indian Oil-Adani Gas Private Limited
410.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_7],Indian Oil-Adani Gas Private Limited
411.,17-Aug-2023 03:00 PM,25-Aug-2023 05:00 PM,28-Aug-2023 03:00 PM,"[Supply of different type of potted plants at Savitri Nursery, GK-II (Ward No. 171), South Zone for various location G-20 Summit. ] [DDH/SZ/ MCD/2023-24/ NIT No.19][2023_MCD_164651_2]",Municipal Corporation of Delhi||Horticulture Department - MCD
412.,22-Jul-2023 06:30 PM,25-Aug-2023 05:00 PM,29-Aug-2023 02:30 PM,[REPAIRS TO ROOF OF F-1 TYPE QUARTERS OF MPF AT ORDNANCE ESTATE AMBERNATH] [0503/15/2022-23/EO/MPF][2023_AVNL_162044_1],Armoured Vehicles Nigam Limited||Machine Tool Prototype Factory - Ambernath
413.,11-Jul-2023 03:00 PM,25-Aug-2023 05:00 PM,25-Aug-2023 05:30 PM,[EOI for Selection of Consortium Partner for Appointment of Advanced Metering Infrastructure (AMI) Service Provider for Smart Prepaid Metering in Goa on DBFOOT basis] [TCIL/ITBD/AMISP/ GOA/II/2023][2023_TCIL_160689_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||Business Development Division - TCIL
414.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_10],Indian Oil-Adani Gas Private Limited
415.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_2],Indian Oil-Adani Gas Private Limited
416.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_5],Indian Oil-Adani Gas Private Limited
417.,21-Jul-2023 10:30 AM,25-Aug-2023 05:00 PM,28-Aug-2023 09:00 AM,"[Percentage rate contract for Electrical and Civil Work for Electrical maintenance at Dighi Magazine, Proof Range and Riverside Magazine.] [GM/AFK/EO/PRC-15/2023-24][2023_MIL_161720_1]",Munitions India Limited||Ammunition Factory Khadki Pune Maharashtra
418.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_4],Indian Oil-Adani Gas Private Limited
419.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_9],Indian Oil-Adani Gas Private Limited
420.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_3],Indian Oil-Adani Gas Private Limited
421.,17-Aug-2023 03:00 PM,25-Aug-2023 05:00 PM,28-Aug-2023 03:00 PM,"[Supply of different type of potted plants at Savitri Nursery, GK-II (Ward No. 171), South Zone for various location G-20 Summit. ] [DDH/SZ/ MCD/2023-24/ NIT No.19][2023_MCD_164651_2]",Municipal Corporation of Delhi||Horticulture Department - MCD
422.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_6],Indian Oil-Adani Gas Private Limited
423.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_5],Indian Oil-Adani Gas Private Limited
424.,12-Aug-2023 12:00 PM,25-Aug-2023 05:00 PM,26-Aug-2023 05:00 PM,[Annual rate Contract for Non-Comprehensive Operation and Maintenance of 126 Nos Online Compressors] [IOAGPL/23-24/Online Compressor Non-CAMC/37][2023_AGPL_164277_3],Indian Oil-Adani Gas Private Limited
425.,04-Aug-2023 05:00 PM,25-Aug-2023 06:00 PM,28-Aug-2023 11:00 AM,"[Job Contract for hiring services of 3 Nos. of Architects, 1 No. Interior Designer, 1 No. Civil Engineer and 1 No. Stenographer in the office of ED(Engg) and ED(Arch.) _Southern Region, CHQ, New Delhi for the year 2023_24] [AAI/MDU/CIVIL/685/2023][2023_AAI_163177_1]",Airports Authority of India||Southern Region - AAI||MADURAI - AAI||ENGG CIVIL_VOMD - AAI
426.,05-Aug-2023 01:00 PM,25-Aug-2023 06:00 PM,28-Aug-2023 04:00 PM,"[supply of TLT Turbo make PA FAN and FD FAN spares] [JPL/CnM/23-24/1100011810,827][2023_JPL_163353_1]",Jhabua Power Ltd
427.,17-Aug-2023 04:00 PM,25-Aug-2023 06:00 PM,28-Aug-2023 04:00 PM,[25/CD-II/BSNL/Kol/2023-24] [25/CD-II/BSNL/Kol/2023-24][2023_BSNL_164733_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD"
428.,27-Jul-2023 06:50 PM,25-Aug-2023 06:00 PM,04-Sep-2023 11:00 AM,[Repair and Level correction of Night parking (Apron-2) and Isolation bay at C.A. Vadodara. (SH Civil and Electrical works)] [AAI/VAD/AGM(E-C)/Repair and level Work/2023-24][2023_AAI_160727_1],Airports Authority of India||Western Region - AAI||VADODARA - AAI||ENGG CIVIL-VABO - AAI
429.,24-Jul-2023 06:55 PM,25-Aug-2023 06:00 PM,26-Aug-2023 10:30 AM,[Restoration of Corroded Staircases and Structures in TP-9 to TP-12 of CHP] [CS 5419][2023_NTECL_162188_1],NTECL
430.,04-Aug-2023 04:40 PM,25-Aug-2023 06:00 PM,28-Aug-2023 11:00 AM,[Construction and repair of drain in operational area and Non operational area south side at Pantnagar airport] [AAI/RHQ/NR/Pantnagar/2023/1][2023_AAI_163299_1],Airports Authority of India||Northern Region - AAI||RHQ-NR - AAI||ENGG CIVIL-NR - AAI
431.,17-Aug-2023 04:00 PM,25-Aug-2023 06:00 PM,28-Aug-2023 04:00 PM,[25/CD-II/BSNL/Kol/2023-24] [25/CD-II/BSNL/Kol/2023-24][2023_BSNL_164733_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD"
432.,16-Aug-2023 04:00 PM,25-Aug-2023 06:00 PM,29-Aug-2023 11:00 AM,[Addition and altration to ground floor of technical portion for renting out to LIC in TE building at Daman (BA-SURAT).(2nd Call)] [09/BSNL/EE/CD/SRT/2023 dated 16.08.2023][2023_BSNL_164599_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Gujarat Telecom Circle||CE (Civil)
433.,10-Aug-2023 05:00 PM,26-Aug-2023 09:00 AM,29-Aug-2023 09:00 AM,[supply of Rubber Expansion Bellows] [JPL/CnM/LT/23-24/1100011780][2023_JPL_161879_2],Jhabua Power Ltd
434.,05-Aug-2023 10:00 AM,26-Aug-2023 10:00 AM,28-Aug-2023 10:00 AM,[ E TENDER FOR APPOINTMENT OF AGENCY FOR PROVIDING SERVICES FOR RENDERING TECHNICAL AND LOGISTIC SUPPORT FOR CONSTRUCTION OF MULTIPURPOSE INDOOR HALL JOGGING TRACK GRASSING OF PLAY FIELDS AT VASCO AND DEVELOPMENT OF SPORTS COMPLEX AT PORIEM GOA] [NPCC/SZO/SAG/278][2023_NPCC_163475_1],National Projects Construction Corporation Limited||Southern Zone (Bengaluru) - NPCC
435.,13-Jul-2023 06:00 PM,26-Aug-2023 10:30 AM,28-Aug-2023 11:00 AM,"[Procurement of reagent kits Make Merck for Spectroquant Pharo 100 and Orion Aqua Mate 8100 spectrophotometers of DSTPS, DVC.] [DVC/CHEMISTRY/CMM/00014][2023_DVC_161011_1]",Damodar Valley Corporation||DSTPS Andal - DVC||C and M
436.,19-Aug-2023 12:00 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Repair and renovation for Govt. accommodations Newly Allotted in various types and various location in Rohini District ,New Delhi.] [162/DPHCL/ENGG/NIT/2023-24][2023_DPHCL_164967_1]",Delhi Police Housing Corporation Ltd
437.,11-Aug-2023 06:55 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,"[Gap filling and Maintenance of existing median plantation work on Four Lanning of Hisar to Dabwali Section of New NH-09 from Km. 170.000 to Km. 227.000 (Pkg 1) with paved shoulder in the state of Haryana UNDER, PIU Hisar] [NHAI/RO/CHD/Plantation/RFP][2023_NHAI_164335_1]",National Highways Authority of India||RO-Chandigarh - NHAI||Jalandhar - NHAI
438.,11-Aug-2023 06:55 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,"[Gap filling and Maintenance of existing median plantation work in Four Lanning of Hisar to Dabwali Section of New NH-9 from Km. 227.000 to Km. 314.660 (Pkg 2) with paved shoulder in the state of Haryana UNDER, PIU Hisar] [NHAI/RO/CHD/Plantation/RFP][2023_NHAI_164346_1]",National Highways Authority of India||RO-Chandigarh - NHAI||Jalandhar - NHAI
439.,25-Jul-2023 06:00 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,"[FacilityServices in NHAIs RegionalOffice Chandigarh and its ProjectImplementation Units. Providing manpower viz. Stenographers, Accountants, ComputerOperators, OfficeAssistants, SiteEngineers, Peon, Chowkidar, SecurityGuards, Sweepers for 2Yrs(2ndCal] [NHAI/RO/CHD/11035/Manpower/RFP][2023_NHAI_162330_1]",National Highways Authority of India||RO-Chandigarh - NHAI||Jalandhar - NHAI
440.,18-Aug-2023 05:20 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,"[Providing and installation of ABT type Net-energy meter at 11 KV sub-station at CSIR- NEERI, Nagpur] [50(27)/2023-24/W][2023_CSIR_158044_3]",Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||ESD-NEERI - CSIR
441.,21-Aug-2023 09:00 AM,26-Aug-2023 11:00 AM,28-Aug-2023 01:00 PM,"[AR and MO to Type - I, II,III,IV and V BSNL staff quarters under jurisdiction of CSD KALI BARI-II New Delhi. ( SH-Repair of plantation pit in type IV Qtrs balcony and removing of all plantation from balcony at type IV qtrs)] [32/BSNL/BCD-1/2023-24][2023_BSNL_165112_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||PCE Civil
442.,21-Aug-2023 09:00 AM,26-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,"[AR and MO to Type - I, II,III,IV and V BSNL staff quarters under jurisdiction of CSD KALI BARI-II New Delhi. ( SH-Providing and fixing of unschdule fittings in type IV and V Qtrs and cleaning of terrace at type IV qtrs] [31/BSNL/BCD-1/2023-24][2023_BSNL_165111_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||PCE Civil
443.,19-Aug-2023 10:00 AM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,[DVC/T/CTPS/FUEL/CANDM/WS/00088] [DVC/T/CTPS/FUEL/CANDM/WS/00088][2023_DVC_164679_1],Damodar Valley Corporation||CTPS Chandrapura - DVC||C and M
444.,21-Aug-2023 11:00 AM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Repair and renovation for Govt. Accommodations at PTS Malviya Nagar, 7th BN. DAP, New Delhi.] [177/DPHCL/ENGG/NIT/2023-24][2023_DPHCL_165105_1]",Delhi Police Housing Corporation Ltd
445.,11-Aug-2023 06:55 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,"[Gap filling and Maintenance of existing median plantation work in Four Lanning of Hisar to Dabwali Section of New NH-9 from Km. 227.000 to Km. 314.660 (Pkg 2) with paved shoulder in the state of Haryana UNDER, PIU Hisar] [NHAI/RO/CHD/Plantation/RFP][2023_NHAI_164346_1]",National Highways Authority of India||RO-Chandigarh - NHAI||Jalandhar - NHAI
446.,19-Aug-2023 12:00 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[ Repair and Maintenance work at police colony Sector B4, Pocket 1 and 3, Narela Delhi.] [174/DPHCL/ENGG/NIT/2023-24][2023_DPHCL_165006_1]",Delhi Police Housing Corporation Ltd
447.,19-Aug-2023 12:00 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Repair and Maintenance Work at PC Sector B4, Pocket 3 at the location of Outer North District, Narela.] [169/DPHCL/ENGG/NIT/2023-24][2023_DPHCL_164989_1]",Delhi Police Housing Corporation Ltd
448.,19-Aug-2023 12:00 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Multiple Works of Repair and renovation for Govt. accommodations Newly Allotted in various types and various location in OND District ,New Delhi.] [MultiworksON/DPHCL/ENGG][2023_DPHCL_164997_1]",Delhi Police Housing Corporation Ltd
449.,19-Aug-2023 12:00 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Multiple Works of Repair and renovation for newly Govt. accommodations of different types allotted in various locations in PTS Malviya Nagar, New Delhi] [MultiworksPTSMalviya/DPHCL][2023_DPHCL_164987_1]",Delhi Police Housing Corporation Ltd
450.,19-Aug-2023 12:00 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Regarding sun rays protection for reception PHQ and waiting room for drivers , operators in New Delhi Distri] [166/DPHCL/ENGG/NIT/2023-24][2023_DPHCL_164982_1]",Delhi Police Housing Corporation Ltd
451.,21-Aug-2023 09:00 AM,26-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,"[AR and MO to Type - I, II,III,IV and V BSNL staff quarters under jurisdiction of CSD KALI BARI-II New Delhi. ( SH-Providing and fixing of unschdule fittings in type IV and V Qtrs and cleaning of terrace at type IV qtrs] [31/BSNL/BCD-1/2023-24][2023_BSNL_165111_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||PCE Civil
452.,19-Aug-2023 10:00 AM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,[DVC/T/CTPS/FUEL/CANDM/WS/00088] [DVC/T/CTPS/FUEL/CANDM/WS/00088][2023_DVC_164679_1],Damodar Valley Corporation||CTPS Chandrapura - DVC||C and M
453.,21-Aug-2023 11:00 AM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Repair and renovation for Govt. Accommodations at PTS Malviya Nagar, 7th BN. DAP, New Delhi.] [176/DPHCL/ENGG/NIT/2023-24][2023_DPHCL_165104_1]",Delhi Police Housing Corporation Ltd
454.,21-Aug-2023 11:00 AM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Multiple Works of repair and renovation of govt accommodations of various types allotted in various locations of Outer North District, Delhi.] [MultiWorksOND/ENGG][2023_DPHCL_165107_1]",Delhi Police Housing Corporation Ltd
455.,21-Aug-2023 11:00 AM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Repair and renovation for Govt. Accommodations at PTS Malviya Nagar, 7th BN. DAP, New Delhi.] [177/DPHCL/ENGG/NIT/2023-24][2023_DPHCL_165105_1]",Delhi Police Housing Corporation Ltd
456.,19-Aug-2023 12:00 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:00 AM,"[Repair and renovation for Govt. accommodations Newly Allotted in various types and various location in Rohini District ,New Delhi.] [162/DPHCL/ENGG/NIT/2023-24][2023_DPHCL_164967_1]",Delhi Police Housing Corporation Ltd
457.,11-Aug-2023 06:55 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,"[Gap filling and Maintenance of existing median plantation work in Four Lanning of Hisar to Dabwali Section of New NH-9 from Km. 227.000 to Km. 314.660 (Pkg 2) with paved shoulder in the state of Haryana UNDER, PIU Hisar] [NHAI/RO/CHD/Plantation/RFP][2023_NHAI_164346_1]",National Highways Authority of India||RO-Chandigarh - NHAI||Jalandhar - NHAI
458.,11-Aug-2023 06:55 PM,26-Aug-2023 11:00 AM,28-Aug-2023 11:30 AM,"[Gap filling and Maintenance of existing median plantation work on Four Lanning of Hisar to Dabwali Section of New NH-09 from Km. 170.000 to Km. 227.000 (Pkg 1) with paved shoulder in the state of Haryana UNDER, PIU Hisar] [NHAI/RO/CHD/Plantation/RFP][2023_NHAI_164335_1]",National Highways Authority of India||RO-Chandigarh - NHAI||Jalandhar - NHAI
459.,15-Jul-2023 05:00 PM,26-Aug-2023 12:00 PM,29-Aug-2023 12:30 PM,"[R and M Works of 07 Nos Substations (Kumardubi, Mosabani, Putki, Patherdih, Barhi, Koderma and Gola) of DVC in the state of Jharkhand] [DVC/T/HQ/SPE/CMM/WS/00058/Cap][2023_DVC_161076_1]",Damodar Valley Corporation||HQ Kolkata - DVC||C and M
460.,02-Aug-2023 06:30 PM,26-Aug-2023 12:00 PM,28-Aug-2023 02:00 PM,[outsourcing of copper network tender in guntur BA ] [GTR/OP/Outsourcing of copper networkTender/2023-24][2023_BSNL_163167_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Guntur
461.,11-Aug-2023 05:00 PM,26-Aug-2023 01:00 PM,28-Aug-2023 03:00 PM,[GMT/PLG/RMY/4G OFC tender1/2023-24/73 dtd 11/08/2023] [GMT/PLG/RMY/4G OFC tender1/2023-24/73 dtd 11082023][2023_BSNL_164209_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD East Godavari
462.,22-Jun-2023 11:00 AM,26-Aug-2023 01:00 PM,26-Aug-2023 04:00 PM,[Biennial Maintenance Contract (BMC) for ABB make PLC system of Wagon Tipplers at CHP] [NIT/23-24/33 Dated 22.06.2023][2023_MUNPL_158392_1],Meja Urja Nigam Pvt Ltd||Meja Thermal Power Project - MUNPL||Contracts and Materials - MUNPL
463.,10-Jul-2023 05:30 PM,26-Aug-2023 01:00 PM,26-Aug-2023 04:00 PM,[Refurbishment of AHP spares.] [NIT/23-24/45 Dated 10.07.2023][2023_MUNPL_160568_1],Meja Urja Nigam Pvt Ltd||Meja Thermal Power Project - MUNPL||Contracts and Materials - MUNPL
464.,29-Jul-2023 04:00 PM,26-Aug-2023 02:00 PM,29-Aug-2023 03:00 PM,[REPLACEMENT OF VFDs INSTALLED AT JLPL PUMPING STATIONS WITH NEW VFDs INCLUDING DESIGN SUPPLY INSTALATION TESTING AND COMMISSIONING DSITC WITH COMPREHENSIVE AMC] [GAIL/CNP/JPR23NK057/2023-24][2023_GAIL_162260_1],GAIL (India) Limited||GAIL India Limited- Jaipur
465.,11-Aug-2023 06:00 PM,26-Aug-2023 02:30 PM,26-Aug-2023 03:00 PM,[Procurement of Development work of software of SSBPAC] [C-2(b)/RC/7785/00119/2023][2023_CEL_164300_1],Central Electronics Limited
