S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Details,Locations,Sector,Subsector
293.0,12-Aug-2023 04:25 PM,11-Sep-2023 05:00 PM,13-Sep-2023 09:00 AM,[Works contract in respect of Specified intermittent nature of works arising in HMTP of HEC Ltd] [HMTP/CC/PA/NIT/2023-77] [2023_HEC_164420_1],Heavy Engineering Corporation Limited||Foundry Forge Plant - HEC||Administration-FFP - HEC,,,HEC Ltd
294.0,02-Sep-2023 09:00 AM,11-Sep-2023 05:00 PM,12-Sep-2023 05:00 PM,[Annual Maintenance from Km.1.500 to 122.200 of Khammam Aswaraopet (in five sections) section of NH - 365BB in the State of Telangana 3rd call] [NHAI/PIU-KMM/ K-A - NH365BB /AM/2023/3] [2023_NHAI_166446_1],National Highways Authority of India||RO-Hyderabad - NHAI||Khammam - NHAI,['KHAMMAM'],NH,Telangana 3rd call
295.0,04-Sep-2023 05:30 PM,11-Sep-2023 05:00 PM,12-Sep-2023 01:00 PM,"[Supply of PVC Pipe, Bamboo Broom, Hassian Cloth, Petrol Lawn Mover, Tree Pruner and Katiya for parks and gardens in Ward No. 179, Central Zone] [DDH/CNZ/MCD/2023-24/527/NIT No.8 ] [2023_MCD_166549_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,,Katiya,"Ward No . 179 , Central Zone"
296.0,12-Aug-2023 10:45 AM,11-Sep-2023 05:00 PM,13-Sep-2023 09:00 AM,[works contract in respect of Specified intermittent nature of works arising in HMBP Zone A of HEC Ltd] [HMBP/CC/PA/NIT/2023-88] [2023_HEC_164334_1],Heavy Engineering Corporation Limited||Foundry Forge Plant - HEC||Administration-FFP - HEC,,HEC,
297.0,12-Aug-2023 11:25 AM,11-Sep-2023 05:00 PM,13-Sep-2023 09:00 AM,[Works contract in respect of Specified intermittent nature of works arising in FFP Zone A of HEC Ltd] [FFP/CC/PA/NIT/2023-429] [2023_HEC_164376_1],Heavy Engineering Corporation Limited||Foundry Forge Plant - HEC||Administration-FFP - HEC,,HEC,
298.0,23-Aug-2023 02:00 PM,11-Sep-2023 05:00 PM,12-Sep-2023 11:00 AM,"[DEVELOPMENT OF HERITAGE PARK AT AJMAL KHAN PARK, WARD NO. 83, KAROL BAGH ZONE UNDER WASTE TO ART] [DDH(HQ)-II/MCD /2023-24/D-716/NIT No.15] [2023_MCD_165384_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,,WARD,ART
299.0,21-Aug-2023 04:00 PM,11-Sep-2023 05:00 PM,12-Sep-2023 05:00 PM,[Balance works in Koyambedu Maduravoyal Section of NH-4 from Km.9/410 to Km.13/535 ] [NHAI/PIU CHN/NH-4/OM WORK /2023-24/03 ] [2023_NHAI_165158_1],National Highways Authority of India||RO-Chennai - NHAI||Chennai - NHAI,['INDIA'],Koyambedu,Km.13/535
300.0,09-Aug-2023 10:00 AM,11-Sep-2023 05:00 PM,13-Sep-2023 09:00 AM,[Repair/Renovation of verandah portion of bldg. no. 829 and Repairs to wall of store room at C3 section and approach path to bldg.no. 434 beside C3 section at AFK.] [GM/AFK/EO/DC/1002/2023-24] [2023_MIL_163730_1],Munitions India Limited||Ammunition Factory Khadki Pune Maharashtra,,Repairs,
301.0,03-Aug-2023 06:55 PM,11-Sep-2023 05:00 PM,11-Sep-2023 05:30 PM,"[EOI forSelection of vendor for Supply, installation, configuration, testing and commissioning of Structured Local Area Network in Haryana ] [TCIL/ITTIII/97/2023] [2023_TCIL_163334_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL,,EOI,Haryana
302.0,12-Aug-2023 04:25 PM,11-Sep-2023 05:00 PM,13-Sep-2023 09:00 AM,[Works contract in respect of Specified intermittent nature of works arising in HMTP of HEC Ltd] [HMTP/CC/PA/NIT/2023-77] [2023_HEC_164420_1],Heavy Engineering Corporation Limited||Foundry Forge Plant - HEC||Administration-FFP - HEC,,,HEC Ltd
303.0,23-Aug-2023 02:00 PM,11-Sep-2023 05:00 PM,12-Sep-2023 11:00 AM,"[DEVELOPMENT OF HERITAGE PARK AT AJMAL KHAN PARK, WARD NO. 83, KAROL BAGH ZONE UNDER WASTE TO ART] [DDH(HQ)-II/MCD /2023-24/D-716/NIT No.15] [2023_MCD_165384_1]",Municipal Corporation of Delhi||Horticulture Department - MCD,,WARD,ART
304.0,22-Aug-2023 10:00 AM,11-Sep-2023 06:00 PM,13-Sep-2023 02:00 PM,"[02 / 2023-24 / IMR/DC/Marine Wing/F. 287, Dt. 21.08.2023] [02 / 2023-24 / IMR/DC/Marine Wing/F. 287, Dt. 21.] [2023_VPT_165211_1]",Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Mech. and Elec. Engineering - VPT,,,
305.0,06-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Supply of Jai Balaji make Limit Switches ] [JPL/CnM/23-24/1100011870 ] [2023_JPL_164411_2],Jhabua Power Ltd,,,Jai Balaji make Limit Switches
306.0,01-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Procurement of Syringe Seal Etc] [10-53(273)/23-24/PB/T-55] [2023_CSIR_166370_1],Council of Scientific and Industrial Research||CSMCRI-Bhavnagar - CSIR||Purchase-CSMCRI - CSIR,,,Syringe Seal Etc
307.0,01-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Procurement of AMC for Agilent 7890B GC ] [AMC (633)/23-24/PB/T-51] [2023_CSIR_166343_1],Council of Scientific and Industrial Research||CSMCRI-Bhavnagar - CSIR||Purchase-CSMCRI - CSIR,,,Agilent 7890B GC
308.0,04-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,12-Sep-2023 06:00 PM,[Retender of Non Comprehensive AMC of 100KN Servo Hydraulic Universal Testing Machine] [PUR/10/Foundry/PK/AMC/2023-24] [2023_CSIR_162072_2],Council of Scientific and Industrial Research||CMERI-Durgapur - CSIR||Purchase-CMERI - CSIR,,Non,100KN Servo Hydraulic Universal Testing Machine
309.0,28-Aug-2023 04:00 PM,11-Sep-2023 06:00 PM,14-Sep-2023 11:00 AM,[Replacement of concrete water tank with PVC water tank of New Type-II qtrs. in Sec-I at VFJ.] [RD-2208/VFJ] [2023_AVNL_155464_1],Armoured Vehicles Nigam Limited||Vehicle Factory - Jabalpur,,New,
310.0,21-Aug-2023 06:15 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Consultancy services for renovation of the existing toilets in terminal building at Civil Airport Jammu] [AAI/JAMMU/ENGG. CIVIL/TOILET CONSULTANCY/2023/04] [2023_AAI_163528_1],Airports Authority of India||Northern Region - AAI||JAMMU - AAI||ENGG CIVIL-JAMMU - AAI,,,Civil Airport Jammu
311.0,02-Sep-2023 09:00 AM,11-Sep-2023 06:00 PM,14-Sep-2023 04:00 PM,[Renovation of CSC] [45 /CD-I/BSNL/Kol/2023-24] [2023_BSNL_166429_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD",,CSC,
312.0,01-Sep-2023 06:55 PM,11-Sep-2023 06:00 PM,14-Sep-2023 03:30 PM,[10/2023-24/BSNL/CD/BILASPUR] [10/2023-24/BSNL/CD/BILASPUR] [2023_BSNL_166445_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Chhattisgarh Telecom Circle- Raipur||SE Civil,,,
313.0,28-Aug-2023 04:00 PM,11-Sep-2023 06:00 PM,14-Sep-2023 11:00 AM,[Replacement of concrete water tank with PVC water tank of New Type-II qtrs. in Sec-I at VFJ.] [RD-2208/VFJ] [2023_AVNL_155464_1],Armoured Vehicles Nigam Limited||Vehicle Factory - Jabalpur,,New,
314.0,01-Sep-2023 06:30 PM,11-Sep-2023 06:00 PM,14-Sep-2023 03:30 PM,[09/2023-24/BSNL/CD/BILASPUR] [09/2023-24/BSNL/CD/BILASPUR] [2023_BSNL_166412_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Chhattisgarh Telecom Circle- Raipur||SE Civil,,,
315.0,22-Aug-2023 10:00 AM,11-Sep-2023 06:00 PM,13-Sep-2023 02:00 PM,"[02 / 2023-24 / IMR/DC/Marine Wing/F. 287, Dt. 21.08.2023] [02 / 2023-24 / IMR/DC/Marine Wing/F. 287, Dt. 21.] [2023_VPT_165211_1]",Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Mech. and Elec. Engineering - VPT,,,
316.0,21-Aug-2023 06:00 PM,11-Sep-2023 06:00 PM,14-Sep-2023 03:30 PM,[Boundary wall work] [C/o Balance Boundary wall at Rewa Airport] [2023_AAI_162246_2],Airports Authority of India||Western Region - AAI||JABALPUR - AAI||ENGG CIVIL-VAJB - AAI,['INDIA'],,
317.0,21-Aug-2023 06:15 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Consultancy services for renovation of the existing toilets in terminal building at Civil Airport Jammu] [AAI/JAMMU/ENGG. CIVIL/TOILET CONSULTANCY/2023/04] [2023_AAI_163528_1],Airports Authority of India||Northern Region - AAI||JAMMU - AAI||ENGG CIVIL-JAMMU - AAI,,,Civil Airport Jammu
318.0,28-Aug-2023 04:30 PM,11-Sep-2023 06:00 PM,14-Sep-2023 11:00 AM,[Term contract for artificer work for regular maintenance work in residential building in Sec-I estate at VFJ.] [RD-2209/VFJ] [2023_AVNL_155009_2],Armoured Vehicles Nigam Limited||Vehicle Factory - Jabalpur,,Sec,
319.0,06-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Supply of Jai Balaji make Limit Switches ] [JPL/CnM/23-24/1100011870 ] [2023_JPL_164411_2],Jhabua Power Ltd,,,Jai Balaji make Limit Switches
320.0,02-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 03:00 PM,"[Renovation Work in 4th Floor meeting hall at BSNL Corporate Office, Bharat Sanchar Bhawan, Janpath New Delhi (Recall).] [48/EE/BCD-II/AB/ND/2023-24] [2023_BSNL_166514_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||PCE Civil,,BSNL,
321.0,24-Aug-2023 03:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 12:00 PM,"[Supply, Installation, Testing and Commissioning of SBR Based 25 KLD Sewage Treatment Plant including Operation and AICMC for 05 yrs at Bhuj Airport] [AAI/ENG/WR/AGM/BHUJ/NIT1/23-24] [2023_AAI_164937_1]",Airports Authority of India||Western Region - AAI||RHQ-WR - AAI||ENGG ELECT-WR - AAI,['INDIA'],AICMC,Bhuj Airport
322.0,23-Aug-2023 06:55 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,"[Construction of Crash Gate, Emergency Exit Road, Diversion of Perimeter Road, Cooling off Pit, Signage and other Miscellaneous works at Dumka Airport under RCS Scheme. SH Civil Works] [AAI/ER/KOL/E-C/NIT-05/2023-24 ] [2023_AAI_165442_1]",Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||ENGG CIVIL-ER - AAI,['INDIA'],SH,Dumka Airport under RCS Scheme .
323.0,01-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Procurement of AMC for PXRD Empyrean] [AMC (208)/23-24/PB/T-56] [2023_CSIR_166375_1],Council of Scientific and Industrial Research||CSMCRI-Bhavnagar - CSIR||Purchase-CSMCRI - CSIR,,AMC,PXRD Empyrean
324.0,01-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Procurement of Syringe Seal Etc] [10-53(273)/23-24/PB/T-55] [2023_CSIR_166370_1],Council of Scientific and Industrial Research||CSMCRI-Bhavnagar - CSIR||Purchase-CSMCRI - CSIR,,,Syringe Seal Etc
325.0,01-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Procurement of AMC for Thermal Instrument] [AMC (229)/22-23/PB/T-54 ] [2023_CSIR_166350_1],Council of Scientific and Industrial Research||CSMCRI-Bhavnagar - CSIR||Purchase-CSMCRI - CSIR,,,Thermal Instrument
326.0,01-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Procurement of AMC for Agilent 7890B GC ] [AMC (633)/23-24/PB/T-51] [2023_CSIR_166343_1],Council of Scientific and Industrial Research||CSMCRI-Bhavnagar - CSIR||Purchase-CSMCRI - CSIR,,,Agilent 7890B GC
327.0,28-Aug-2023 04:00 PM,11-Sep-2023 06:00 PM,14-Sep-2023 11:00 AM,[Replacement of concrete water tank with PVC water tank of New Type-II qtrs. in Sec-I at VFJ.] [RD-2208/VFJ] [2023_AVNL_155464_1],Armoured Vehicles Nigam Limited||Vehicle Factory - Jabalpur,,New,
328.0,05-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Procurement of Spares for Empyrean Tube Cu LFF HR] [10-53(274)/23-24/PB/T-57] [2023_CSIR_166565_1],Council of Scientific and Industrial Research||CSMCRI-Bhavnagar - CSIR||Purchase-CSMCRI - CSIR,,,Empyrean Tube Cu LFF HR
329.0,05-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Procurement of Joint Assembly] [10-53(366)/23-24/PB/T-59] [2023_CSIR_166714_1],Council of Scientific and Industrial Research||CSMCRI-Bhavnagar - CSIR||Purchase-CSMCRI - CSIR,,,Joint Assembly
330.0,21-Aug-2023 06:00 PM,11-Sep-2023 06:00 PM,14-Sep-2023 03:30 PM,[Boundary wall work] [C/o Balance Boundary wall at Rewa Airport] [2023_AAI_162246_2],Airports Authority of India||Western Region - AAI||JABALPUR - AAI||ENGG CIVIL-VAJB - AAI,['INDIA'],,
331.0,01-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Procurement of AMC for Thermal Instrument] [AMC (229)/22-23/PB/T-54 ] [2023_CSIR_166350_1],Council of Scientific and Industrial Research||CSMCRI-Bhavnagar - CSIR||Purchase-CSMCRI - CSIR,,,Thermal Instrument
332.0,21-Aug-2023 06:00 PM,11-Sep-2023 06:00 PM,14-Sep-2023 03:30 PM,[Boundary wall work] [C/o Balance Boundary wall at Rewa Airport] [2023_AAI_162246_2],Airports Authority of India||Western Region - AAI||JABALPUR - AAI||ENGG CIVIL-VAJB - AAI,['INDIA'],,
333.0,21-Aug-2023 06:15 PM,11-Sep-2023 06:00 PM,13-Sep-2023 11:00 AM,[Consultancy services for renovation of the existing toilets in terminal building at Civil Airport Jammu] [AAI/JAMMU/ENGG. CIVIL/TOILET CONSULTANCY/2023/04] [2023_AAI_163528_1],Airports Authority of India||Northern Region - AAI||JAMMU - AAI||ENGG CIVIL-JAMMU - AAI,,,Civil Airport Jammu
334.0,28-Aug-2023 04:30 PM,11-Sep-2023 06:00 PM,14-Sep-2023 11:00 AM,[Term contract for artificer work for regular maintenance work in residential building in Sec-I estate at VFJ.] [RD-2209/VFJ] [2023_AVNL_155009_2],Armoured Vehicles Nigam Limited||Vehicle Factory - Jabalpur,,Sec,
335.0,04-Sep-2023 06:00 PM,11-Sep-2023 06:00 PM,12-Sep-2023 06:00 PM,[Retender of Non Comprehensive AMC of 100KN Servo Hydraulic Universal Testing Machine] [PUR/10/Foundry/PK/AMC/2023-24] [2023_CSIR_162072_2],Council of Scientific and Industrial Research||CMERI-Durgapur - CSIR||Purchase-CMERI - CSIR,,Non,100KN Servo Hydraulic Universal Testing Machine
336.0,16-Aug-2023 06:00 PM,11-Sep-2023 06:15 PM,13-Sep-2023 10:00 AM,"[Provision of inside building toilet works, floor finishing works, joinery works, bricks work, plaster work etc. and water proofing treatment of roof of building no.AMK-PO3 utility house inside factory at O. F. Bhandara.] [No.EO/51/ND2313/BF] [2023_MIL_164666_1]",Munitions India Limited||Ordnance Factory Bhandara Bhandara Maharashtra,,AMK,O. F. Bhandara .
337.0,14-Aug-2023 06:30 PM,11-Sep-2023 06:45 PM,13-Sep-2023 10:00 AM,"[Provision of toilet inside building, floor finishing works, joinery works, brick work, plaster work etc. and water proofing treatment of roof of bldg. No. RK 101 utility house inside factory at O.F.Bhandara.] [No.EO/51/ND2316/BF] [2023_MIL_164520_1]",Munitions India Limited||Ordnance Factory Bhandara Bhandara Maharashtra,,,O.F.Bhandara .
338.0,14-Jul-2023 09:00 AM,12-Sep-2023 09:00 AM,13-Sep-2023 09:00 AM,[Rewiring of EM Fy YMS section inside Factory area at OFMK Bld No 66] [76026/TE-20/OFMK/EOC/EM YMS/Rewiring/23-24] [2023_AVNL_160990_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram,,,OFMK Bld No 66
339.0,04-Sep-2023 03:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[10/MWEEE-I/2023-24/TC Item No.1] [10/MWEEE-I/2023-24/TC] [2023_MCD_166558_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
340.0,04-Sep-2023 03:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[10/MWEEE-I/2023-24/TC Item No.2] [10/MWEEE-I/2023-24/TC] [2023_MCD_166558_2],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
341.0,04-Sep-2023 03:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[10/MWEEE-I/2023-24/TC Item No.2] [10/MWEEE-I/2023-24/TC] [2023_MCD_166558_2],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
342.0,04-Sep-2023 03:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[10/MWEEE-I/2023-24/TC Item No.1] [10/MWEEE-I/2023-24/TC] [2023_MCD_166558_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
343.0,04-Sep-2023 01:00 PM,12-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,[Electrical Work-CSPZ] [MCD/TR/6155/2023_6_1_1/1] [2023_MCD_166527_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
344.0,23-Aug-2023 11:00 AM,12-Sep-2023 10:00 AM,13-Sep-2023 11:00 AM,"[Annual maintenance contract for various types of staff quarters at CSIR- NAL, Kodihalli campus, Bengaluru-560017] [ESD - NAL / 05 / E of 2023 - 2024] [2023_CSIR_165242_1]",Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Admin-NAL - CSIR,,Bengaluru-560017,"CSIR- NAL , Kodihalli campus ,"
345.0,28-Aug-2023 06:00 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:15 AM,[Supply of pumps] [JPL CnM 2023-24 1100011816-789] [2023_JPL_163623_2],Jhabua Power Ltd,,,pumps
346.0,07-Sep-2023 09:00 AM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[Engagement of user fee collection agency at Khaniwade fee plaza at Km. 467.220 at NH-48 Six laning of Surat- Dahisar section of NH-8 in the State of Gujarat and Maharashtra] [NHAI/13013/547/CO/ 23-24/EQ/Khaniwade FP] [2023_NHAI_166962_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,Km,Gujarat and Maharashtra
347.0,14-Jun-2023 11:00 AM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[Diesel Generators Set along with its auxiliaries for KKNPP 3 and 4 Project] [CMM/MEQ/25-24-2-1188] [2023_NPCIL_157000_1],Nuclear Power Corporation Of India Limited||Corporate Head Quarters - NPCIL||Contracts and Materials Management-NPCIL,,KKNPP,
348.0,06-Sep-2023 05:00 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[NIT No 23/EEE/KBZ/MCD/2023-24 Item No.01] [MCD/TR/6173/2023_6_1_1/1] [2023_MCD_166862_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,NIT,
349.0,21-Jun-2023 06:55 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[DEVELOPING OPERATING AND MAINTAINENCE OF LARGE AND SMALL WAYSIDE AMENITIES ON DIFFERENT SECTIONS OF NATIONAL HIGHWAY ON LEASE BASIS.] [NHAI/ WSA/ DBOT/ West/ 2 /2023] [2023_NHAI_158363_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,NATIONAL,
350.0,05-Sep-2023 06:55 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[Engagement of user fee collection agency for Gorribanda user FP for the Rehabilitation and upgradation of NH326A to two lane with paved Shoulders in the State of Andhra Pradesh under NH(O) on EPC Mode developed by MoRTH] [NHAI/13013/ 547/CO/ 23-24/ EQ/Gorribanda FP] [2023_NHAI_166775_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,Gorribanda,MoRTH
351.0,07-Sep-2023 06:00 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:00 AM,[Procurement of GENERATOR SPARES FOR U1 RESTORATION PR 100000884] [100000884] [2023_NTECL_167012_1],NTECL||Vallur Thermal Power Project||Contracts and Materials,,,U1 RESTORATION PR 100000884
352.0,10-Jul-2023 12:00 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[Development of Multi Modal Logistics Park (MMLP) at Jalna in the State of Maharashtra on Engineering Procurement and Construction (EPC) mode] [NHLML/MMLP /JALNA/EPC/2023] [2023_NHAI_160514_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,,Maharashtra on Engineering Procurement and Construction ( EPC ) mode
353.0,11-Aug-2023 09:00 AM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[IE for 4 laning of Tejajinagar Balwara sec of NH 347BG (Indore to Boregaon Pkg 2) Design Ch. 9.000 to Design Ch. 42.400 (Length 33.400 Km) under Bharatmala Pariyojana Phase-I in Madhya Pradesh on Hybrid Annuity Mode 3rd call] [NHAI/HQ/MP/Tejajinagar balwara/Pkg II/HAM/IE/2022] [2023_NHAI_164190_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,Km,Madhya Pradesh on Hybrid Annuity Mode 3rd call
354.0,21-Aug-2023 01:05 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[Designing and Printing of NHAI Calendars for the year 2024] [11041/35/38/2023-MR] [2023_NHAI_165132_1],National Highways Authority of India||Head Office - NHAI||Administration - NHAI,,,the year 2024
355.0,07-Aug-2023 11:00 AM,12-Sep-2023 11:00 AM,13-Sep-2023 11:00 AM,[Special repairs to Test Track at OFMK] [76026/TE-30/OFMK/EOC/Test Track/23-24] [2023_AVNL_163524_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram,,,OFMK
356.0,06-Sep-2023 05:00 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:00 AM,[EEE-II/TC/2023-24/07.1] [EEE-II/TC/2023-24/07.1] [2023_MCD_166855_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
357.0,14-Aug-2023 05:30 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[Modification of Rwy 05 or 23 Threshold or End Lights to meet CAR.] [AAI/CBE/E-E/RWY 05-23/23-24] [2023_AAI_163915_1],Airports Authority of India||Southern Region - AAI||RHQ-SR - AAI||ENGG ELECT-SR - AAI,,CAR,meet
358.0,21-Jun-2023 06:55 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[DEVELOPING OPERATING AND MAINTAINENCE OF LARGE AND SMALL WAYSIDE AMENITIES ON DIFFERENT SECTIONS OF NATIONAL HIGHWAY ON LEASE BASIS.] [NHAI/ WSA/ DBOT/ West/ 2 /2023] [2023_NHAI_158363_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,NATIONAL,
359.0,14-Jun-2023 11:00 AM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[Diesel Generators Set along with its auxiliaries for KKNPP 3 and 4 Project] [CMM/MEQ/25-24-2-1188] [2023_NPCIL_157000_1],Nuclear Power Corporation Of India Limited||Corporate Head Quarters - NPCIL||Contracts and Materials Management-NPCIL,,KKNPP,
360.0,05-Sep-2023 06:55 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[Engagement of user fee collection agency for Gorribanda user FP for the Rehabilitation and upgradation of NH326A to two lane with paved Shoulders in the State of Andhra Pradesh under NH(O) on EPC Mode developed by MoRTH] [NHAI/13013/ 547/CO/ 23-24/ EQ/Gorribanda FP] [2023_NHAI_166775_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,Gorribanda,MoRTH
361.0,07-Sep-2023 06:00 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:00 AM,[Procurement of GENERATOR SPARES FOR U1 RESTORATION PR 100000884] [100000884] [2023_NTECL_167012_1],NTECL||Vallur Thermal Power Project||Contracts and Materials,,,U1 RESTORATION PR 100000884
362.0,21-Jun-2023 06:55 PM,12-Sep-2023 11:00 AM,13-Sep-2023 11:30 AM,[DEVELOPING OPERATING AND MAINTAINENCE OF LARGE AND SMALL WAYSIDE AMENITIES ON DIFFERENT SECTIONS OF NATIONAL HIGHWAY ON LEASE BASIS.] [NHAI/ WSA/ DBOT/ West/ 2 /2023] [2023_NHAI_158363_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,NATIONAL,
