Tender,Company,Procurement,Notice,Location,Closing,Value,Date,Tender_Url
SLaM Maudsley Clinic Rooms Works,South London and Maudsley NHS Foundation Trust,  Opportunity,  Open,  BR3 3BX,"  23 September 2022, 12pm","Contract value £125,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/747a04dd-9410-4c65-a0f4-3b52479f81b9?origin=SearchResults&p=23
CA11068 - External Audit,Liverpool Women's NHS Foundations Trust,  Early engagement,  Open,  L8 7SS,   9 December 2022,Publication date  9 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/538507ec-3d7b-4488-9123-6bb0ea0171a1?origin=SearchResults&p=23
CA11066 - Blessed Edward Bamber Catholic MAT Contract for Catering Services,Blessed Edward Bamber Catholic Multi Academy Trust,  Opportunity,  Open,  FY3 7EQ,"  10 October 2022, 12pm","Contract value £434,244",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/96c39a9d-e8f9-4b19-b7c2-2f2b448dab2b?origin=SearchResults&p=23
St Pauls Catholic School SEND Capital Project,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"  14 October 2022, 12pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/6f5ede18-3c43-464f-a0aa-928a3fe7c0f4?origin=SearchResults&p=23
Cambridge City Council - Whitehill Road Tree Pit,Cambridge City Council,  Opportunity,  Open,  England,"  17 October 2022, 12pm","Contract value £10,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/76d4e24a-4893-4316-9b8d-8033daca2fc6?origin=SearchResults&p=23
704704450-Provision of Greenpower F24 Kit Cars,Ministry of Defence,  Opportunity,  Open,  South East,"  19 September 2022, 11:59pm","Contract value £50,250",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/ab3dc26e-6c3b-465b-9a43-2231e051936e?origin=SearchResults&p=23
TD019-21 Grimsby Town Hall - External Conservation Works,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  30 September 2022,  1pm","Contract value £250,000 to £250,001","  12 August 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/19dd7d66-12fb-4faf-8ad9-5d791b74ccfa?origin=SearchResults&p=23
Refuse Collection Vehicles 7.5t & 8.5t,Bournemouth Christchurch and Poole Council,  Opportunity,  Open,  England,"  14 October 2022,  2pm","Contract value £700,000 to £800,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/d77c6997-a238-4293-9f25-5b88063a6c3d?origin=SearchResults&p=23
UDBS Photographer,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DE,"  16 September 2022, 12pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/8098876e-ce61-47a2-a130-9d058e92c390?origin=SearchResults&p=23
GB-London: Supporting the integration of LEPs,Local Government Association,  Opportunity,  Open,  London,"  30 September 2022, 12pm","Contract value £25,000 to £50,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/0aea3df8-f95e-466a-8049-9802fdca2640?origin=SearchResults&p=23
GB-London: The future skills needs of local government economic development teams,Local Government Association,  Opportunity,  Open,  London,"  30 September 2022,  5pm","Contract value £10,000 to £25,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/2324caf6-bd8f-4588-ae89-b26c87abd841?origin=SearchResults&p=23
Leeds City Council Barristers Framework,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  16 September 2022, 12pm","Contract value £0 to £450,000","   3 August 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/359e44d0-c6d4-4e7e-b59e-c0aa0b9824ec?origin=SearchResults&p=24
"GB-Liverpool: Riverpark Gardens - Conservation, Window  Replacement & Roofline Repairs",Plus Dane Housing Ltd.,  Opportunity,  Open,  North West,"  16 September 2022, 10am","Contract value £100,000 to £500,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/99be4bd7-5ac8-403b-9d8a-aa11bcc09e99?origin=SearchResults&p=24
The Croydon Road Recreation Ground Bowie Bandstand Restoration Project,London Borough of Bromley,  Opportunity,  Open,  England,"   6 October 2022, 12pm","Contract value £200,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/1ae396dd-d9fc-4db1-ac53-12896b8d3eb8?origin=SearchResults&p=24
A47 Blofield - Plumbing works for Compounds,GALLIFORD TRY INFRASTRUCTURE LIMITED,  Early engagement,  Open,  East of England,  16 September 2022,Publication date  9 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/efb77953-a8b0-48cc-a5f3-f01e9d1cd57b?origin=SearchResults&p=24
"PRP163 - Supply of Windows and Doors for Coton in the Elms Primary School, Elmslea Avenue, Coton in the Elms, Swadlincote Derbyshire DE12 8HE",Derbyshire County Council,  Opportunity,  Open,  England,"  10 October 2022, 11am","Contract value £75,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/4f82bc23-0aef-4221-a343-b8394fa25a74?origin=SearchResults&p=24
Childrens' Advocacy (SEND and Social Care) and Independent Visiting Service,Bath and North East Somerset Council,  Future opportunity,  Open,  England,Approach to market date 17 October 2022,"Contract value £708,625",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/7b20f216-b9ea-41f4-8a84-b1c5404faf4f?origin=SearchResults&p=24
A47 Blofield - Electric works for Compounds,GALLIFORD TRY INFRASTRUCTURE LIMITED,  Early engagement,  Open,  East of England,  16 September 2022,Publication date  9 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/267c9cac-e057-40af-a5ac-cd18e2a812ed?origin=SearchResults&p=24
INVITATION TO TENDER FOR REPLACEMENT OF TRIP RAIL FENCING AT ROOKSDOWN PARISH,Basingstoke and Deane Borough Council,  Opportunity,  Open,  England,"  19 October 2022, 12pm","Contract value £120,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/b6fadf37-57bc-47a5-a032-015029fe4436?origin=SearchResults&p=24
County Durham Children and Young People's Independent Advocacy Service,Durham County Council,  Opportunity,  Open,  England,"  10 October 2022, 12pm","Contract value £100,000 to £600,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/e9874283-7b7d-4bae-a180-1340ead97abf?origin=SearchResults&p=24
Medics at BF Custody Suite,Home Office,  Early engagement,  Open,  SW1P 4DF,  30 September 2022,Publication date  9 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/468c0c00-724a-4317-a0a6-af374f4bcf8e?origin=SearchResults&p=24
Gaunless Bridge: Object Move and Conservation,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  30 September 2022,  5:12pm","Contract value £55,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/02c79798-248d-4908-aec3-5a877315d23c?origin=SearchResults&p=24
704C_22 Procurement and Contract Management Support for Catering and Cleaning Services,Espo,  Future opportunity,  Open,  United Kingdom,Approach to market date 30 September 2022,"Contract value £40,000","  16 June 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/e95b41bb-ce0f-4002-87d2-92e609eb6657?origin=SearchResults&p=24
Contract for CCTV Upgrade Project and Maintenance Services,London Borough of Barking and Dagenham,  Opportunity,  Open,  London,"  21 October 2022, 12pm","Contract value £4,000,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/963f4a41-7e10-48c2-947c-b102d14221a1?origin=SearchResults&p=24
"PRP162 - Supply of Windows and Doors for Buxton Community School, College Road Buxton Derbyshire SK17 9EA",Derbyshire County Council,  Opportunity,  Open,  England,"  10 October 2022, 11am","Contract value £85,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/3099213d-e0bf-4ed0-8272-6a7eff6704fe?origin=SearchResults&p=24
Traffic Signals and Systems - Design Support Services,Bedford Borough Council,  Opportunity,  Open,  MK42 9AP,"   7 October 2022, 12pm","Contract value £60,000 to £99,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/e3a20ac6-8d41-4196-b033-275389f92d43?origin=SearchResults&p=24
390_22 Document Management Solutions,ESPO,  Future opportunity,  Open,  United Kingdom,Approach to market date 30 September 2022,"Contract value £80,000,000","  24 May 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/c79d8c97-0165-4a7e-9a8e-8b4c8f7c03aa?origin=SearchResults&p=24
Mountbatten House Heavey Plant Strip Out Works,Medway Council,  Opportunity,  Open,  England,"  20 October 2022,  5pm","Contract value £350,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/d4c5e37e-fd53-4e46-b482-eafcb6d9a5b5?origin=SearchResults&p=24
2022 - 0957 Lowesmoor House Fire Alarm Installation,Citizen,  Opportunity,  Open,  B37 7YN,"  30 September 2022,  5:12pm","Contract value £38,000 to £60,000","  25 August 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/7db78327-0f4b-4fb8-9173-312e41df3bd8?origin=SearchResults&p=24
Sandhurst Cemetery Renovations,COMMONWEALTH WAR GRAVES COMMISSION,  Opportunity,  Open,  GU47 0PR,"  28 October 2022, 12pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/e5dac822-7454-46af-997d-8afd0e191bd9?origin=SearchResults&p=24
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  28 September 2022, 10am",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/2710fef4-5d63-46a7-958e-e4163fbbeedf?origin=SearchResults&p=24
